draft_class,n_eval,n_train,mae,mae_baseline,rmse,spearman,top_features,interval_coverage_80
1990,79,1022,0.16748984862444186,0.22068034714940613,0.21354351712704625,0.43523511843518115,"eq_ppg, eq_ppg_best, is_defense, eq_gpg, coffee_gp",0.759493670886076
1991,91,1101,0.15442398871037089,0.19372462462855686,0.19439858184031786,0.4858485322406407,"eq_ppg, is_defense, eq_ppg_best, nhl_lg_ppg_prev, eq_gpg",0.7912087912087912
1992,96,1192,0.13666436449019972,0.1854925216653355,0.17674867757123477,0.45794982126824296,"eq_ppg, is_defense, eq_ppg_best, eq_gpg, top_league_level",0.8541666666666666
1993,95,1288,0.13202002601454849,0.1819812528572884,0.17204583942537743,0.5540619538697547,"eq_ppg, is_defense, eq_ppg_best, nhl_lg_ppg_prev, draft_ovr",0.7684210526315789
1994,98,1383,0.13765334773216759,0.208342461650906,0.16360879949962298,0.5745755973045319,"eq_ppg, is_defense, eq_ppg_best, eq_gpg, nhl_lg_ppg_prev",0.7653061224489796
1995,83,1481,0.11509643302512103,0.19369799351121983,0.1422945492161613,0.5260495386667582,"eq_ppg, is_defense, eq_ppg_best, eq_gpg, nhl_lg_ppg_prev",0.7951807228915663
1996,80,1564,0.12060169931279394,0.1903106479414567,0.15264699849493477,0.44176029036255837,"had_cup_of_coffee, eq_ppg, is_defense, eq_gpg, nhl_lg_ppg_prev",0.725
1997,74,1644,0.12087836404391909,0.1877083636104769,0.14956909747314473,0.4307592066536109,"eq_ppg, had_cup_of_coffee, is_defense, nhl_lg_ppg_prev, eq_gpg",0.7027027027027027
1998,110,1718,0.1101421912549295,0.19391675977397888,0.1463291687842246,0.6284415763571514,"eq_ppg, had_cup_of_coffee, is_defense, eq_gpg, nhl_lg_ppg_prev",0.7272727272727273
1999,90,1828,0.0963230971969877,0.14820543388942628,0.1267513151128026,0.5373993148383864,"eq_ppg, had_cup_of_coffee, is_defense, nhl_lg_ppg_prev, eq_gpg",0.8777777777777778
2000,87,1918,0.11966237819442008,0.17197508192544855,0.1539848820634323,0.4608892995353308,"eq_ppg, is_defense, nhl_lg_ppg_prev, eq_gpg, eq_ppg_best",0.6896551724137931
2001,96,2005,0.11207461888783249,0.17329005040220502,0.15647148397580468,0.6060854767977154,"eq_ppg, is_defense, nhl_lg_ppg_prev, eq_gpg, eq_ppg_best",0.78125
2002,86,2101,0.09428382186038095,0.13791004361325396,0.12686427643372017,0.6128342910142341,"eq_ppg, is_defense, nhl_lg_ppg_prev, eq_gpg, eq_ppg_best",0.7558139534883721
2003,105,2187,0.11448877366742767,0.1513883563019127,0.14761074931629337,0.4948329104924775,"eq_ppg, is_defense, nhl_lg_ppg_prev, eq_gpg, had_cup_of_coffee",0.6761904761904762
2004,84,2292,0.13392421150952535,0.17946629294184663,0.1951076881426883,0.6032806835300492,"eq_ppg, had_cup_of_coffee, is_defense, eq_gpg, nhl_lg_ppg_prev",0.7261904761904762
2005,95,2376,0.10833927698182769,0.16920237018570783,0.15281310125080896,0.6592751281077003,"eq_ppg, is_defense, eq_ppg_best, nhl_lg_ppg_prev, eq_gpg",0.8315789473684211
2006,79,2471,0.11921380478767689,0.15849214968914732,0.148502366866429,0.6052767743795646,"eq_ppg, is_defense, eq_ppg_best, nhl_lg_ppg_prev, eq_gpg",0.7215189873417721
2007,94,2550,0.09729303030396097,0.1383859093352765,0.12553238289749344,0.5183065833994892,"eq_ppg, had_cup_of_coffee, is_defense, nhl_lg_ppg_prev, eq_ppg_best",0.8085106382978723
2008,99,2644,0.09746895880393526,0.14360038690837174,0.1284449082139731,0.6974323482966137,"eq_ppg, is_defense, nhl_lg_ppg_prev, eq_ppg_best, eq_apg",0.8080808080808081
2009,97,2743,0.10549683765850044,0.12742013766699595,0.13400704575720673,0.43291722817399925,"eq_ppg, is_defense, nhl_lg_ppg_prev, eq_apg, eq_ppg_best",0.7835051546391752
2010,98,2840,0.11400303289538696,0.16331116721533134,0.14229841434374507,0.5666675181945131,"eq_ppg, is_defense, nhl_lg_ppg_prev, eq_ppg_best, had_cup_of_coffee",0.7551020408163265
2011,105,2938,0.1013200638267176,0.1373648324855288,0.13458921409826957,0.5189198207326142,"eq_ppg, is_defense, nhl_lg_ppg_prev, eq_ppg_best, eq_apg",0.8
2012,94,3043,0.0982593297430774,0.11710529561233565,0.1281426337609633,0.45336579872997146,"eq_ppg, nhl_lg_ppg_prev, is_defense, eq_ppg_best, eq_apg",0.8297872340425532
2013,109,3137,0.10953442389159512,0.15215497503273118,0.1366205021435917,0.6453200392584961,"eq_ppg, nhl_lg_ppg_prev, is_defense, eq_apg, eq_ppg_best",0.7064220183486238
2014,92,3246,0.10069934268169912,0.13056948381911845,0.1295876946291946,0.5597083496288179,"eq_ppg, eq_ppg_best, is_defense, nhl_lg_ppg_prev, had_cup_of_coffee",0.7934782608695652
