season,p@50_breakout,p@50_slump,base_rate_breakout,base_rate_slump
1990-91,0.04,0.28,0.06345177664974619,0.10913705583756345
1991-92,0.12,0.22,0.07125890736342043,0.0997624703087886
1992-93,0.28,0.12,0.1275626423690205,0.06150341685649203
1993-94,0.22,0.24,0.09147609147609148,0.09771309771309772
1994-95,0.08,0.52,0.052060737527114966,0.16052060737527116
1995-96,0.16,0.28,0.08588957055214724,0.09406952965235174
1996-97,0.06,0.14,0.06967213114754098,0.09016393442622951
1997-98,0.02,0.16,0.03822937625754527,0.12072434607645875
1998-99,0.04,0.18,0.042884990253411304,0.07797270955165692
1999-00,0.14,0.0,0.0599250936329588,0.0299625468164794
2000-01,0.14,0.04,0.09208103130755065,0.040515653775322284
2001-02,0.02,0.24,0.045372050816696916,0.056261343012704176
2002-03,0.08,0.22,0.057391304347826085,0.07478260869565218
2003-04,0.12,0.06,0.06118881118881119,0.038461538461538464
2005-06,0.16,0.08,0.11650485436893204,0.038834951456310676
2006-07,0.24,0.08,0.12989690721649486,0.041237113402061855
2007-08,0.12,0.22,0.05166051660516605,0.08856088560885608
2008-09,0.1,0.24,0.074487895716946,0.06517690875232775
2009-10,0.1,0.1,0.05913978494623656,0.035842293906810034
2010-11,0.22,0.12,0.051418439716312055,0.07446808510638298
2011-12,0.16,0.2,0.059964726631393295,0.07936507936507936
2012-13,0.22,0.1,0.05263157894736842,0.06390977443609022
2013-14,0.18,0.1,0.046181172291296625,0.04262877442273535
2014-15,0.04,0.22,0.0763765541740675,0.08170515097690942
2015-16,0.12,0.08,0.03776978417266187,0.06115107913669065
2016-17,0.14,0.06,0.04174573055028463,0.05313092979127135
2017-18,0.1,0.12,0.06017699115044248,0.04601769911504425
2018-19,0.08,0.08,0.10139860139860139,0.02972027972027972
2019-20,0.14,0.06,0.048736462093862815,0.052346570397111915
2020-21,0.08,0.14,0.06343283582089553,0.054104477611940295
2021-22,0.2,0.08,0.09515570934256055,0.03633217993079585
2022-23,0.2,0.04,0.08777969018932874,0.029259896729776247
2023-24,0.1,0.1,0.058823529411764705,0.05718954248366013
